Report: Chartered Organizations Report
Council: Greater Colorado Council 061 
Organization Name: Centennial 02
Reporting period: Now
Report Generated By: Richard Hall
Date Report Generated: 04/16/2026
..
"This roster information is to be used only for authorized purposes on behalf of the Scouting America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..territoryname,councilname,subcouncilname,districtname,subdistrictname,unitname,unitid,genderaccepted,expirydtstr,specialinteresttypecode,specialinteresttype,communityorganization,communityorganizationtypecode,communityorganizationtype,tenure,address,citystate,zip,phone,qttyouth,qttadultvolunteers,communityorganizationtypeshort,ciscouncilpaid
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Pack 0113","162526","F","12/31/2026","0413","TRADITIONAL PROGRAM","St. Martin-in-the-Fields Episcopal Church","024","Episcopal Churches","472","19491 E Smoky Hill Rd","Centennial, CO","80015-3126","001-(303)-680-6376","36","15","CHUR","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Pack 0127","188961","F","12/31/2026","0413","TRADITIONAL PROGRAM","American Legion Post #1 American Legion Leyden Chiles Wickersham","052","American Legion and Auxiliaries","460","5400 E Yale Ave","Denver, CO","80222-6905","(303)-757-1919","33","8","FRAT","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Pack 0131","143433","F","12/31/2026","0413","TRADITIONAL PROGRAM","Greater Colorado Council","","BSA Council","339","10455 W 6th Ave, STE 100","Denver, CO","80215-5780","001-(303)-455-5522","32","14","FORN","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Pack 0317","129523","B","12/31/2026","0413","TRADITIONAL PROGRAM","Greater Colorado Council","","BSA Council","292","10455 W 6th Ave, STE 100","Denver, CO","80215-5780","001-(303)-455-5522","21","7","FORN","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Pack 0375","164901","F","12/31/2026","0413","TRADITIONAL PROGRAM","Lord of the Hills Lutheran Church","008","Lutheran Churches","475","21755 E Smoky Hill Rd","Centennial, CO","80015","001-(303)-617-9884","37","13","CHUR","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Pack 0914","80478","F","12/31/2026","0413","TRADITIONAL PROGRAM","Greater Colorado Council","","BSA Council","286","10455 W 6th Ave, STE 100","Denver, CO","80215-5780","001-(303)-455-5522","53","13","FORN","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Pack 1127","29768","F","12/31/2026","0413","TRADITIONAL PROGRAM","Greater Colorado Council","","BSA Council","211","10455 W 6th Ave, STE 100","Denver, CO","80215-5780","001-(303)-455-5522","42","10","FORN","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Pack 2010","78685","F","12/31/2026","0413","TRADITIONAL PROGRAM","Friends and Family of Pack 2010","227","Business and Industry, Unclassified","178","26641 E Arbor Dr","Aurora, CO","80016-6129","(303)-493-1854","42","17","BUS","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Ship 0113","379687","","01/31/2027","","","St. Martin-in-the-Fields Episcopal Church","024","Episcopal Churches","12","19491 E Smoky Hill Rd","Centennial, CO","80015-3126","001-(303)-680-6376","10","5","CHUR","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Troop 0012","171062","B","12/31/2026","0413","TRADITIONAL PROGRAM","Greater Colorado Council","","BSA Council","536","10455 W 6th Ave, STE 100","Denver, CO","80215-5780","001-(303)-455-5522","43","39","FORN","No"
