Scout,Tenderfoot,SecondClass,FirstClass,Star,Life,Eagle,Palms,MeritBadge,Date,YTD,Male_Youth,Female_Youth,Youth,Unit,LDS,Gender,Sub-District
,2,4,4,4,6,0,0,55,2016,20,41,,41,Troop 0743-BT,,,5
,3,2,4,3,3,0,0,67,2016,15,29,,29,Troop 0746-BT,,,5
,2,2,1,0,1,0,1,0,2016,6,4,,4,Troop 0749-BT,,,1
,8,7,5,4,3,0,0,54,2016,27,25,,25,Troop 0763-BT,,,5
,0,0,0,0,0,0,0,0,2016,0,25,,25,Troop 0773-BT,,,4
,7,5,3,4,1,0,0,49,2016,20,31,,31,Troop 0793-BT,,,5
,1,1,3,4,1,0,0,70,2016,10,21,,21,Troop 0839-BT,,,1
,0,0,0,0,0,0,0,0,2016,0,7,,7,Troop 0923-BT,,,3
,0,0,0,0,0,0,0,10,2016,0,46,,46,Troop 1532-BT,,,1
,7,2,1,5,6,2,0,59,2017,23,61,,61,Troop 0003-BT,,,2
,0,0,0,0,0,1,0,0,2017,1,22,,22,Troop 0006-BT,,,3
,5,3,0,3,3,9,0,111,2017,23,72,,72,Troop 0012-BT,,,1
,2,2,2,0,0,2,0,29,2017,8,17,,17,Troop 0030-BT,,,2
,4,5,7,4,8,5,0,128,2017,33,72,,72,Troop 0113-BT,,,1
,0,0,0,5,1,1,1,108,2017,7,18,,18,Troop 0120-BT,,,2
,2,5,7,8,6,9,6,154,2017,37,62,,62,Troop 0127-BT,,,2
,0,0,0,0,0,0,0,24,2017,0,25,,25,Troop 0142-BT,,,4
,0,0,0,1,1,1,0,40,2017,3,20,,20,Troop 0145-BT,,,4
,1,1,1,0,0,0,0,13,2017,3,15,,15,Troop 0148-BT,,,4
,0,0,0,0,0,2,0,11,2017,2,21,,21,Troop 0171-BT,,,1
,3,4,3,0,0,0,0,0,2017,10,22,,22,Troop 0248-BT,,,3
,1,0,0,1,2,1,2,33,2017,5,10,,10,Troop 0267-BT,,,1
,0,0,0,0,0,0,0,0,2017,0,3,,3,Troop 0303-BT,,,2
,0,0,2,1,1,0,0,19,2017,4,20,,20,Troop 0308-BT,,,1
,6,3,0,2,0,2,0,69,2017,13,31,,31,Troop 0317-BT,,,1
,1,0,0,0,3,2,0,34,2017,6,15,,15,Troop 0375-BT,,,2
,0,0,0,0,0,0,0,0,2017,0,16,,16,Troop 0392-BT,,,3
,0,0,0,0,0,1,0,8,2017,1,8,,8,Troop 0439-BT,,,2
,3,4,0,3,5,6,0,132,2017,21,27,,27,Troop 0494-BT,,,2
,0,0,0,0,0,0,0,0,2017,0,8,,8,Troop 0501-BT,,,2
,0,0,0,0,2,1,3,56,2017,3,26,,26,Troop 0630-BT,,,1
,0,5,0,2,0,0,0,38,2017,7,13,,13,Troop 0641-BT,,,1
,0,0,1,0,1,1,0,45,2017,3,34,,34,Troop 0644-BT,,,1
,3,0,0,0,0,0,0,28,2017,3,12,,12,Troop 0707-BT,,,2
,1,0,3,1,0,0,0,22,2017,5,23,,23,Troop 0710-BT,,,3
,2,2,0,0,1,0,0,70,2017,5,18,,18,Troop 0715-BT,,,4
,0,0,1,0,0,1,0,0,2017,2,26,,26,Troop 0716-BT,,,3
,0,0,2,3,0,0,0,27,2017,5,24,,24,Troop 0718-BT,,,5
