lion,tiger,bobcat,wolf,bear,webelos,aol,Date,YTD,Male Youth,Female Youth,Youth,Unit,LDS,Gender,Sub-District
0,0,0,0,0,0,4,2021,4,28,0,28,Pack 0252-FP,N,BP,
,3,0,7,0,8,0,2015,18,52,,52,Pack 0252-FP,,,1
,0,1,5,0,3,0,2016,9,42,,42,Pack 0252-FP,,,1
,0,0,0,0,0,0,2017,0,46,,46,Pack 0252-FP,,,1
0,16,36,9,2,0,-1,2018,62,63,,63,Pack 0252-FP,,,1
7,10,8,12,6,8,1,2019,52,65,0,65,Pack 0252-FP,N,FP,1
,1,2,1,1,0,0,2015,5,15,,15,Pack 0255-FP,,,1
,0,0,0,0,0,0,2016,0,43,,43,Pack 0255-FP,,,1
,0,1,0,0,0,0,2017,1,47,,47,Pack 0255-FP,,,1
4,9,23,9,6,7,2,2018,60,70,,70,Pack 0255-FP,,,1
6,8,19,13,12,4,5,2019,67,57,21,78,Pack 0255-FP,N,FP,1
0,4,2,7,5,13,2,2020,33,36,16,52,Pack 0255-FP,N,FP,
4,3,0,6,4,3,6,2020,26,28,5,33,Pack 0257-FP,N,FP,
0,0,0,0,0,0,3,2021,3,15,2,17,Pack 0257-FP,N,FP,
,0,0,0,0,0,0,2016,0,8,,8,Pack 0267-BP,,,
,0,0,0,0,0,0,2017,0,7,,7,Pack 0267-BP,,,
0,0,0,0,9,0,2,2020,11,38,2,40,Pack 0268-FP,N,FP,
,0,0,0,0,0,0,2016,0,10,,10,Pack 0303-BP,,,
,0,0,0,0,0,0,2017,0,10,,10,Pack 0303-BP,,,
,1,0,2,1,0,1,2015,5,35,,35,Pack 0313-BP,,,
,6,16,11,0,9,14,2015,56,49,,49,Pack 0317-BP,,,1
,2,12,5,10,4,1,2016,34,42,,42,Pack 0317-BP,,,1
,2,0,2,6,11,4,2017,25,38,,38,Pack 0317-BP,,,1
0,0,10,5,5,6,1,2018,27,36,,36,Pack 0317-BP,,,1
0,2,1,6,0,4,0,2019,13,24,0,24,Pack 0317-BP,N,BP,1
0,0,0,1,1,0,0,2020,2,15,0,15,Pack 0317-BP,N,BP,
0,0,2,0,0,0,0,2021,2,10,0,10,Pack 0317-BP,N,BP,
0,0,0,0,0,0,0,2020,0,26,2,28,Pack 0345-BP,N,BP,
6,4,8,13,7,9,15,2020,62,54,0,54,Pack 0351-BP,N,BP,
0,0,0,0,0,0,0,2021,0,19,0,19,Pack 0351-BP,N,BP,
0,4,0,1,0,0,0,2020,5,21,5,26,Pack 0354-FP,N,FP,
,0,0,0,0,5,0,2015,5,35,,35,Pack 0375-FP,,,2
,0,0,9,3,0,0,2016,12,45,,45,Pack 0375-FP,,,2
,0,0,0,0,0,0,2017,0,43,,43,Pack 0375-FP,,,2
0,5,7,10,10,9,9,2018,50,55,,55,Pack 0375-FP,,,2
0,2,11,9,9,7,1,2019,39,50,6,56,Pack 0375-FP,N,FP,2
3,6,7,2,7,9,6,2020,40,45,5,50,Pack 0375-FP,N,FP,
,5,2,5,8,7,2,2015,29,44,,44,Pack 0378-BP,,,2
,4,2,7,7,6,6,2016,32,34,,34,Pack 0378-BP,,,2
,0,0,5,6,3,7,2017,21,34,,34,Pack 0378-BP,,,2
2,0,9,4,3,5,0,2018,23,36,,36,Pack 0378-BP,,,2
0,0,0,0,0,0,0,2019,0,17,3,20,Pack 0378-BP,N,BP,2
,0,2,0,0,0,0,2015,2,23,,23,Pack 0379-BP,,,
,1,5,0,2,6,0,2016,14,27,,27,Pack 0379-BP,,,
,0,0,0,0,0,4,2017,4,5,,5,Pack 0379-BP,,,
,0,1,1,1,3,3,2015,9,12,,12,Pack 0392-BP,,,3
,0,3,1,0,0,0,2016,4,16,,16,Pack 0392-BP,,,3
,0,1,0,0,0,0,2017,1,9,,9,Pack 0392-BP,,,3
3,0,0,1,0,1,0,2018,5,9,,9,Pack 0392-BP,,,3
0,0,0,0,0,0,0,2019,0,10,0,10,Pack 0392-BP,Y,BP,3
,5,0,6,7,6,5,2015,29,39,,39,Pack 0433-BP,,,2
,5,3,4,4,0,1,2016,17,33,,33,Pack 0433-BP,,,2
,3,5,4,1,6,6,2017,25,20,,20,Pack 0433-BP,,,2
2,1,1,0,3,1,3,2018,11,25,,25,Pack 0433-BP,,,2
0,0,1,0,0,1,2,2019,4,17,3,20,Pack 0433-BP,N,BP,2
,2,0,4,0,8,0,2015,14,29,,29,Pack 0439-FP,,,1
,0,2,0,0,0,0,2016,2,33,,33,Pack 0439-FP,,,1
,0,0,0,0,0,0,2017,0,13,,13,Pack 0439-FP,,,1
0,0,0,0,0,0,0,2018,0,21,,21,Pack 0439-FP,,,1
0,0,0,0,0,0,0,2019,0,29,1,30,Pack 0439-FP,N,BP,1
3,7,18,4,2,0,0,2020,34,15,0,15,Pack 0439-FP,N,FP,
0,0,3,0,0,0,0,2020,3,56,0,56,Pack 0467-BP,N,BP,
,0,0,0,0,0,0,2015,0,4,,4,Pack 0495-BP,,,
,4,12,2,9,4,0,2015,31,44,,44,Pack 0501-BP,,,1
,6,10,3,2,10,5,2016,36,37,,37,Pack 0501-BP,,,1
,6,1,6,2,2,0,2017,17,29,,29,Pack 0501-BP,,,1
0,2,14,5,7,3,2,2018,33,38,,38,Pack 0501-BP,,,1
0,5,0,2,4,4,3,2019,18,29,0,29,Pack 0501-BP,N,BP,1
,5,15,6,4,7,1,2015,38,55,,55,Pack 0630-FP,,,1
,8,0,7,4,1,5,2016,25,52,,52,Pack 0630-FP,,,1
,0,2,8,0,6,0,2017,16,47,,47,Pack 0630-FP,,,1
0,2,16,6,8,3,2,2018,37,60,,60,Pack 0630-FP,,,1
2,4,8,1,8,10,3,2019,36,49,5,54,Pack 0630-FP,N,FP,1
5,2,6,2,5,3,4,2020,27,24,6,30,Pack 0630-FP,N,FP,
0,0,0,0,0,1,4,2021,5,14,3,17,Pack 0630-FP,N,FP,
,0,0,0,0,0,0,2015,0,10,,10,Pack 0641-BP,,,
